地域区分,No,地区(大字・町名),施設名称,所在地,洪水,土砂災害,高潮,地震,津波,大規模な火事,内水氾濫・火山現象,指定避難所,混雑度,多目的トイレ,ペット可,車いす対応
namioka,1,王余魚沢,王余魚沢児童館,青森市浪岡大字王余魚沢字北村元29,O,,,X,X,X,O,X,空いている,あり,あり,あり
namioka,2,王余魚沢,王余魚沢小学校跡地,青森市浪岡大字王余魚沢字王余魚沢1,,,,,,,,X,やや空いている,なし,なし,あり
namioka,3,北中野,北中野農村公園,青森市浪岡大字北中野字北195,O,O,,,,,,X,やや混雑,あり,なし,あり
namioka,4,北中野,浪岡北中野公民館,青森市浪岡大字北中野字天27-7,,,,X,,,,X,混雑,あり,なし,なし
namioka,5,北中野,浪岡南小学校,青森市浪岡大字北中野字北3,2階以上,,,,,,,,満員,なし,あり,なし
namioka,6,銀,銀村センター,青森市浪岡大字銀字杉田151,O,O,,,,,,,空いている,あり,なし,あり
namioka,7,郷山前,郷山前農村公園,青森市浪岡大字郷山前字上野30-1,O,O,,,,,,,やや空いている,あり,なし,あり
namioka,8,郷山前,郷山前農村センター,青森市浪岡大字郷山前字上野62-5,O,,,,X,,,,やや混雑,なし,なし,あり
namioka,9,五本松,五本松農村センター,青森市浪岡大字五本松字羽黒平40-1,O,,,,,,,,混雑,あり,あり,なし
namioka,10,五本松,美人川公園,青森市浪岡大字五本松字羽黒平9-2,O,O,,,,,,,満員,あり,なし,なし
namioka,11,下石川,下石川ふれあいセンター,青森市浪岡大字下石川字岡田143-1,O,,,O,X,,,,空いている,なし,なし,あり
namioka,12,下十川,浪岡女鹿沢公民館,青森市浪岡大字下十川字宮本36-1,,,,,,,,,やや空いている,あり,なし,あり
namioka,13,下十川,女鹿沢小学校,青森市浪岡大字下十川字肌田19-2,2階以上,,O,,,,,,やや混雑,あり,あり,あり
namioka,14,大釈迦,旧大栄小学校,青森市浪岡大字大釈迦字前田5-2,O,,,,,,,,混雑,なし,なし,なし
namioka,15,大釈迦,大釈迦駅前会館,青森市浪岡大字大釈迦字前田78-8,,,,,,,,,満員,あり,なし,なし
namioka,16,大釈迦,大釈迦駅前広場,"青森市浪岡大字大釈迦字前田55-20,21",O,O,,,,,,X,空いている,あり,なし,あり
namioka,17,高屋敷,杉高児童館,青森市浪岡大字高屋敷字後田32-1,O,O,,,,,,X,やや空いている,なし,あり,あり
namioka,18,高屋敷,浪岡大杉公民館,青森市浪岡大字高屋敷字安田29-2,X,,,,,,,X,やや混雑,あり,なし,あり
namioka,19,高屋敷/吉野田,障害者支援施設りんどう苑,青森市浪岡大字吉野田字上野74-1,,,,,,,,福祉,混雑,あり,なし,なし
namioka,20,梅沢,特別養護老人ホームゆうゆう,青森市浪岡大字吉野田字村元330-7,X,,,,,,,福祉,満員,なし,なし,なし
namioka,21,梅沢,浪岡野沢公民館,青森市浪岡大字吉野田字村元313-4,O,,,X,,,,X,空いている,あり,あり,あり
namioka,22,柳沢,野沢公園,青森市浪岡大字吉野田字村元382-11,O,,,,,,,X,やや空いている,あり,なし,あり
namioka,23,徳才子,徳才子農村センター,青森市浪岡大字徳才子字福田4-1,O,O,,,,,,,やや混雑,なし,なし,あり
namioka,24,浪岡(大字),中世の館,青森市浪岡大字浪岡字岡田43,X,,,O,,,,,混雑,あり,なし,なし
namioka,25,浪岡(大字),浪岡高等学校,青森市浪岡大字浪岡字稲村101-2,2階以上,,,,,,,,満員,あり,あり,なし
namioka,26,浪岡(大字),浪岡総合公園,青森市浪岡大字浪岡字稲盛16,X,O,,,,,,X,空いている,なし,なし,あり
namioka,27,浪岡(大字),浪岡体育館,青森市浪岡大字浪岡字稲盛93,X,,O,,,,,,やや空いている,あり,なし,あり
namioka,28,浪岡(大字),浪岡茶屋町会館,青森市浪岡大字浪岡字林本79-2,X,,,,,,,,やや混雑,あり,なし,あり
namioka,29,浪岡(大字),浪岡中央公民館,青森市浪岡大字浪岡字稲村101-1,2階以上,O,,,,O,,,混雑,なし,あり,なし
namioka,30,浪岡(大字),浪岡中学校,青森市浪岡大字浪岡字稲盛1,1階以上,,,,,O,O,,満員,あり,なし,なし
namioka,31,浪岡(大字),平川児童館,青森市浪岡大字浪岡字平野174-3,X,,,X,X,X,O,X,空いている,あり,なし,あり
namioka,32,浪岡(大字),平川児童公園,青森市浪岡大字浪岡字平野202-2,,,,,,,,X,やや空いている,なし,なし,あり
namioka,33,浪岡(大字),緑道公園,青森市浪岡大字浪岡字細田131-4外,,,O,,,,,X,やや混雑,あり,あり,あり
namioka,34,福田2丁目,なごやかプラザ福田,青森市浪岡福田二丁目4-3,1階以上,,,,X,,,,混雑,あり,なし,なし
namioka,35,細野,浪岡細野山の家,青森市浪岡大字細野字沢井37-3,,,,,,,,,満員,なし,なし,なし
namioka,36,本郷,本郷農村公園,青森市浪岡大字本郷字岸田17,O,O,O,,,,,X,空いている,あり,なし,あり
namioka,37,増館,増館農村センター,青森市浪岡大字増館字富岡140-2,,O,,,,,,,やや空いている,あり,あり,あり
namioka,38,女鹿沢,西山公園,青森市浪岡大字女鹿沢字野尻14-142,,,,,,,,,やや混雑,なし,なし,あり
namioka,39,女鹿沢,花岡公園,青森市浪岡大字女鹿沢字野尻28-3,,,,,,,,X,混雑,あり,なし,なし
namioka,40,女鹿沢,女鹿沢児童公園,青森市浪岡大字女鹿沢字東富田57-3,,O,,,,,,,満員,あり,なし,なし
namioka,41,吉野田,浪岡野沢小学校,青森市浪岡大字吉野田字平野51-2,O,,,,O,X,,,空いている,なし,あり,あり
namioka,42,吉野田,吉野田児童館,青森市浪岡大字吉野田字木戸口10-1,,,O,,,,,X,やや空いている,あり,なし,あり
namioka,43,吉野田,吉野田農村センター,青森市浪岡大字吉野田字木戸口10-1,,,O,,,,,X,やや混雑,あり,なし,あり
namioka,44,高屋敷,大杉公園,青森市浪岡大字高屋敷字安田35-1,O,,,,,,,,混雑,なし,なし,なし
namioka,45,高屋敷,杉沢農村公園,青森市浪岡大字高屋敷字後田32-1,O,O,O,,,,,,満員,あり,あり,なし
namioka,46,女鹿沢,健康の森花岡プラザ,青森市浪岡大字女鹿沢字野尻14-1,O,O,O,,,,,,空いている,あり,なし,あり
namioka,47,女鹿沢,ダイナム青森浪岡店,青森市浪岡大字女鹿沢字西花岡86-4,X,,,,,,,,やや空いている,なし,なし,あり
namioka,48,女鹿沢,花岡集会所,青森市浪岡大字女鹿沢字野尻14-1,,,,X,,,,X,やや混雑,あり,なし,あり
namioka,49,女鹿沢,花岡農村環境改善センター,青森市浪岡大字女鹿沢字野尻14-1,O,O,O,,,,,,混雑,あり,あり,なし
namioka,50,女鹿沢,女鹿沢児童館,青森市浪岡大字女鹿沢字東富田57-2,,O,,,,,,,満員,なし,なし,なし
namioka,51,女鹿沢,女鹿沢農村センター,青森市浪岡大字女鹿沢字西花岡35,2階以上,O,O,X,,X,,X,空いている,あり,なし,あり
namioka,52,本郷,浪岡本郷公民館,青森市浪岡大字本郷字岸田21-5,2階以上,O,O,X,,X,,X,やや空いている,あり,なし,あり
namioka,53,本郷,本郷小学校,青森市浪岡大字本郷字一本木14,,,O,,,,,O,やや混雑,なし,あり,あり
namioka,54,浪岡(大字),浪岡北小学校,青森市浪岡大字浪岡字淋城29,1階以上,,,,O,X,O,,混雑,あり,なし,なし
nanbu,1,荒川,青森刑務所,青森市大字荒川字藤戸88,X,,X,X,X,X,X,O,満員,あり,なし,なし
