No,地区,施設名称,所在地,洪水,土砂災害,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所区分
1,青葉3丁目,浜田福祉館,青森市青葉三丁目8-1,X,,O,,0,X,0,,
2,青柳2丁目,町小学校,青森市青柳二丁目7-25,2階以上,,2階以上,,3階以上,,,,
3,赤坂1丁目,戸山中学校,青森市赤坂一丁目1-1,,O,O,,,,0,,
4,旭町3丁目,片岡福祉館,青森市旭町三丁目7-20,O,,,,D,,,,
5,浅虫,浅虫緑地,青森市大字浅虫字山下368-2外,,,,,,,,,
6,浅虫,割烹旅館さつき 駐車場,青森市大字浅虫字蛍谷71-7,0,O,O,,,,,X,
7,浅虫,旧浅虫小学校(グラウンド),青森市大字浅虫字山下132,0,x,,,D,,,,
8,浅虫,軽費老人ホーム和幸園,青森市大字浅虫字内野48-1,x,,x,,,X,x,福祉,
9,浅虫,軽費老人ホーム和幸 駐車場,青森市大字浅虫字内野48-1,,,,,Q,,,,
10,浅虫,辰巳館 別館,青森市大字浅虫字山下281,2階以上,10,,a,2階以上,,O,O,
11,浅虫,部屋南・海扇閣,青森市大字浅虫字蛍谷31,X,,,X,2階以上,X,,,
12,浅虫,ホテル秋田屋,青森市大字浅虫字蛍谷293-12,,,,,2階以上,,,x,
13,浅虫,夢宅寺,青森市大字浅虫字山下208,X,x,O,,,,0,X,
14,浅虫,ユーサ浅虫,青森市大字浅虫字蛍谷341-19,O,,,,2階以上,,,,
15,飛鳥,あすか海岸緑地,青森市大字飛鳥字塩越地内,,,,,,,,,
16,飛鳥,旧西田沢小学校,青森市大字飛鳥字塩越80,0,,X,,,,,X,
17,飛鳥,中央市民センター飛鳥分館,青森市大字飛鳥字塩越49-53,1階以上,O,,X,2階以上,,,,
18,油川,油川小学校,青森市大字油川字船岡36,,,,,,,,,
19,荒川,青森刑務所,青森市大字荒川字藤戸88,X,,X,,,,,,
20,荒川,青森県総合社会教育センター,青森市大字荒川字藤戸119-7,0,10,,,D,,,,
21,荒川,青森県立図書館,青森市大字荒川字藤戸119-1,0,,O,,0,X,,X,
22,荒川,荒川市民センター,青森市大字荒川字柴田129-1,,O,O,,Q,,0,0,
23,荒川,荒川小学校,青森市大字荒川字柴田92-5,,,,,,,,,
24,石江(大字),国立療養所松丘保養園,青森市大字石江字平山19,X,,,X,,X,,福祉,
25,石江(大字),中央市民センター石江分館,青森市大字石江字江渡25-1,,,,,,,,,
26,石江1丁目,石江東公園,青森市石江一丁目7,X,O,O,,D,,,X,
27,石江2丁目,新青森駅前公園,青森市石江二丁目10,X,,,,,,,X,
28,石江3丁目,石江南公園,青森市石江三丁目11,,O,,O,D,X,,x,
29,石江5丁目,石江西公園,青森市石江五丁目10,X,O,x,G,,,,x,
30,泉野,障害者支援施設 幸養苑,青森市大字泉野字野脇46-61,,x,,,,,,福祉,
